id,text,date,user,rt,fav,followers,verified,label
221247,"#krdmd portföyüme ekledim 
Allah utandırmasın",2022-07-06 08:17:35+00:00,kursadbucak,23,1096,156030,False,Gerçek#Pozitif
221248,"BofA Securities, 
#VAKBN HF 4,10 TL'den 4,00 TL'ye indirdi, tavsiyesini ""endeksin altında getiri"" olarak korudu
#HALKB HF 4,20 TL'den 4,90 TL'ye çıkardı, tavsiyesini ""endeksin altında getiri"" olarak korudu
#ISCTR HF 4,16 TL'den 5,25 TL'ye çıkardı, tavsiyesini ""nötr"" olarak korudu",2022-07-06 06:46:34+00:00,ForeksTurkey,3,42,411900,False,Gerçek#Negatif#Pozitif
221249,"Esenboğa Elektrik #ESEN,
📍 Ford’un #FROTO Kocaeli Yeniköy Tesisleri Kaynak Binası'na 3,6 MW gücünde Anahtar Teslim Çatı ve Cephe Öztüketim Güneş Enerji Santrali yapacak.
📍Sözleşme Bedeli KDV hariç 2.655.000 Euro.
(46.547.991 TL+KDV)",2022-07-05 17:50:03+00:00,ibrahim___ethem,23,378,136874,False,Gerçek#Pozitif
221250,"Hektaş #HEKTS, 
📍Bugün Malezya'da kurulu Boustead Holdings Berhad ile gıda güvenliği başta olmak üzere emtia ticareti alanında işbirliği yapılmasına yönelik bir mutabakat metni imzalandı.

🧘‍♂️Boustead Holdings Berhad, Malezya’nın en eski holdinglerinden biri. Malezya’nın Koç’u 💵",2022-07-05 15:29:38+00:00,ibrahim___ethem,45,537,136874,False,Gerçek#Pozitif
221251,"Ak Yatırım, Koç Holding'i model portföyünden çıkardı #KCHOL",2022-07-05 14:05:44+00:00,ForeksTurkey,1,46,411900,False,Gerçek#Negatif
221252,"#eregl Portföyüme ekledim 
Kararım yanlış olabilir. 
Allah hayırlı bereketli kazançlar nasip etsin",2022-07-05 13:55:49+00:00,kursadbucak,25,2117,156030,False,Gerçek#Pozitif
221253,"Saat 15.00 sonrası donat donat sağdan soldan yukardan aşağıdan ve artı kapat gölgelerin gücü adına #eregl nin 200 günlük ortalamasının gücü adına
Endeksi tut ve kaldır düştüğü yerinden
#xu100 #borsa",2022-07-05 11:27:03+00:00,arifcoskun05,20,1149,204322,False,Pozitif#Yargı
221254,#sasa'daki hareketler açıkları shortçuları kapatmak için bir atak gibi geldi...Bakalım gün sonu nasıl olacak,2022-07-05 10:50:03+00:00,kursadbucak,5,296,156030,False,Negatif#Yargı
221255,"#hekts sarkar #sasa sarkar, #hekts kalkar #sasa kalkar 
Yeni tekerlememiz 😂😂",2022-07-05 10:22:09+00:00,kursadbucak,9,715,156030,False,Nötr#Yargı
221256,#hekts devre kesti,2022-07-05 07:30:40+00:00,kursadbucak,3,355,156030,False,Gerçek#Negatif
221257,"Aselsan #ASELS,
📍Uluslararası bir müşterisi ile savunma sistemleri ihracatı ile ilgili 24,5 milyon dolarlık satış sözleşmesi imzaladı.",2022-07-05 06:53:27+00:00,ibrahim___ethem,12,326,136874,False,Gerçek#Pozitif
221258,Şimdi son temettü verimi tablosunu yayınlayacağım. #EREGL ve #TTKOM'un temettü verimi politika faizinin üzerinde.,2022-07-04 19:44:01+00:00,zeynepxaktas,17,1017,182618,False,Pozitif#Yargı
221259,"Malum 3 site taraması SALI
GÜÇLÜ AL &amp; AL+NÖTR sinyalli #Bist hisseleri
#OZKGY 6,2 #PRKME 6,28
#MNDRS 3,58 #NATEN 69,1
#AYDEM 9,4 #DYOBY 12,75
#BLCYT 15,18 #KOZAL 196,5
#KERVT 5,54 #PNLSN 13,2
#DERHL 8,78 #KIMMR 3,67
#OYAKC 13,1 #BOBET 6,71
#INFO 10,85 #ECILC 10,53
Kendime Not YTD",2022-07-04 17:31:28+00:00,ASIM_YALCINKAYA,6,126,138760,False,Pozitif#Yargı
221260,"#SAHOL
📍Bugün 500.000 lot,18,95₺ ortalama ile şirket tarafından geri alındı.
📍Böylece üst üste 9.işlem gününde de şirket geri alım yapmış oldu.
🧘‍♂️Geri alımlar 3 aydır 18-19-20₺lerden yapılıyor.Sahol’un hareketi için %40,75 pay sahibi olduğu akbank’ın da biraz kıptaşması gerek",2022-07-04 17:12:35+00:00,ibrahim___ethem,6,311,136874,False,Negatif#Yargı
221261,"#HEKTS
📍Organomineral gübre üretimine yönelik olarak kiralanan ve halihazırda gübre üretimlerine devam eden Adana Hacı Sabancı OSB’deki 20.064,07 m2 taşınmazı,satın almak için gerekli işlemlere başlanılması ve  değerleme yaptırılması hususunda Genel Müdürlüğe yetki verdi.",2022-07-04 15:42:08+00:00,ibrahim___ethem,20,436,136873,False,Gerçek#Pozitif
221262,#krdmd devre kesti,2022-07-04 14:58:30+00:00,kursadbucak,2,252,156030,False,Gerçek#Negatif
221263,#EREGL müdavimlerine hatırlatmamdır. Dünya çelik fiyatları grafiğini ve hisse grafiğini birlikte düşünün. Bu oluşum birkaç ay alabilir. Ama takibimde olacak bu toparlanmayı grafik üzerinde gördükten sonra maliyet yapmaya başlayacağım ve portföyümün en az 1/2 sini oluşturacak. 😌,2022-07-04 12:24:45+00:00,Piri_KAPTAN,35,921,135214,False,Pozitif#Yargı
221264,"Ayrıca vadelisi olan kontrat tarafı da olan #Ekgyo #Tskb #Oyakc #Kozal vb hisseler için hareketler daha agresif yerine göre terste bırakacak hareketler de olabilir/olacak da. İşin bu tarafını da göz aldı etmeyin 👍👍👍

ytd",2022-07-04 11:51:49+00:00,PHOENIX07_,11,379,120450,False,Negatif#Yargı
221265,"Garanti Yatırım, Pegasus için hedef fiyatını 145,30 TL'den 255,00 TL'ye yükseltirken, tavsiyesini ""endeksin üzerinde getiri"" olarak korudu #PGSUS",2022-07-04 11:33:33+00:00,ForeksTurkey,4,55,411900,False,Gerçek#Pozitif
221266,"Bank of America, Erdemir için tavsiyesini ""al""dan ""endeksin altında getiri""ye indirdi #EREGL",2022-07-04 11:07:29+00:00,ForeksTurkey,31,544,411900,False,Gerçek#Negatif
221267,"#bist30 
Eğer çok maliyetli olmayacaksa 2698 üstüne atabilir misin sipirmin ?😂😂",2022-07-04 09:30:13+00:00,kursadbucak,4,377,156030,False,Pozitif#Yargı
221268,"#TOASO’nun 22 yıldır ürettiği Doblo, İspanya’daki Stellantis fabrikasına transfer olmuştu.
📍Geçen hafta yapılan görüşmeler sonucunda,2025 yılından itibaren başlayacak şekilde binek ve ticari olmak üzere 3 yeni hibrit ve elektrikli model için anlaşma sağlandı.

{Kaynak-Dünya}",2022-07-04 05:08:43+00:00,ibrahim___ethem,31,665,136873,False,Gerçek#Pozitif
221269,"#Xbank Bankacılık sektöründe #Vakbn #Halkb #Akbnk ile #Tskb de orta vade takipte olacak önceliklilerden.
Bunlarda duruma göre öne alacağız banka olacak👍👍👍
ytd.",2022-07-03 20:29:18+00:00,PHOENIX07_,23,459,120450,False,Pozitif#Yargı
221270,"#Gyo lardan #Ekgyo ile #Vkgyo daha öncede vurguladığım. Grafikleri mevcut

ytd..",2022-07-03 20:20:02+00:00,PHOENIX07_,31,549,120450,False,Gerçek#Nötr
221271,"#Holdingler den şu anlık iki favori hissem var. Teknik oluşum ve ucuzluk olarak #AGHOL ve #Tkfen
Grafikleri mevcut
ytd...",2022-07-03 20:16:55+00:00,PHOENIX07_,42,667,120450,False,Pozitif#Yargı
221272,"Endeks de özellikle yan tahtalarda net para girişi oldu. 
Ciddi poz aldılar ve son 1 hafta gördüğüm kadarıyla stop patlatıp son kredilileri patlattılar.
Özellikle #XU030 kağıtlarında ağustos gibi büyük hareket başlatsalar daha iyi olacaktır. Çünkü piyasada ki para kısıtlı.

ytd..",2022-07-03 20:08:40+00:00,PHOENIX07_,17,484,120450,False,Pozitif#Yargı
221273,"Malum 3 site taraması PAZARTESİ
GÜÇLÜ AL &amp; AL+NÖTR sinyalli #Bist hisseleri
#PEKGY 1,22 #DENGE 1,8
#NATEN 68,45 #AYDEM 9,52
#DYOBY 12,5 #TUPRS 268,5
#MAVI 52 #KIMMR 3,58
#DERHL 8,71 #GENTS 5,39
#PNLSN 13,3 #HTTBT 15,5
#OYAKC 12,74 #INFO 10,76
#ECILC 10,19 #PGSUS 184
KendmeNot YTD",2022-07-03 14:59:39+00:00,ASIM_YALCINKAYA,12,176,138760,False,Pozitif#Yargı
221274,Bugün biraz şirket grafikleri üzerinden içerisinde bulunduğumuz durumu analiz etmeye çalışacağım. İlk yayınlayacağım grafik #TOASO.,2022-07-03 07:55:05+00:00,zeynepxaktas,7,886,182619,False,Nötr#Yargı
221275,"en UCUZ #BIST 100 #hisse'leri
#SAHOL 19,05&gt;45,3
#INDES 7,78&gt;18,3
#VESTL 23,94&gt;56
#BUCIM 2,35&gt;4,86
#GOZDE 8,04&gt;15,98
#ALGYO 31,56&gt;59,5
#EREGL 27,06&gt;48,4
#KRDMD 11,29&gt;19,2
#CIMSA 33,8&gt;57,3
#PETKM 8,84&gt;14,8
#TRGYO 8,04&gt;12,9
#ODAS 2,89&gt;4,58
FKO DD FAVÖK son verilerle
Kendime Not YTD",2022-07-02 11:05:14+00:00,ASIM_YALCINKAYA,65,485,138760,False,Gerçek#Nötr#Yargı
221276,"Daha detay tablolara sonra bakarız ama genel bazda 
#XU100 altı ayda +%31,55
#XU030 altı ayda +%31,79
#XU050 altı ayda +%31,14 
yükseldi.",2022-07-01 19:35:23+00:00,zeynepxaktas,1,230,182619,False,Gerçek#Pozitif
221277,"Halk Yatırım, Vakıfbank ve Mavi'yi model portföyünden çıkarırken, buradan gelen ağırlıkları %10 Arçelik, %10 Ford Otosan ve %5 Tüpraş olarak dağıttı
#VAKBN #MAVI #ARCLK #FROTO #TUPRS",2022-07-01 13:43:21+00:00,ForeksTurkey,0,58,411900,False,Gerçek#Negatif#Pozitif
221278,"#bist30 
2670'i de alır mısın sipirmin ?😂😂",2022-07-01 12:24:33+00:00,kursadbucak,2,212,156030,False,Pozitif#Yargı
221279,Haziran vade başında 110 puan olan #bist30 teorik ve #viop30 arası marj bu vadede 60 puana kadar düştü. Peki yedik pala en güçlü sensin 😂😂,2022-07-01 12:00:51+00:00,kursadbucak,3,228,156030,False,Gerçek#Negatif
221280,"TEB Yatırım, 
#AKBANK hedef fiyatını 12,84 TL'den 13,73 TL'ye yükseltti, ""al"" tavsiyesini korudu
#YKBNK HF 6,90 TL'den 8,47 TL'ye yükseltti, tavsiyesini ""Al"" olarak korudu
#VAKBN HF 5,62 TL'den 4,53 TL'ye indirdi, tavsiyesini ""tut"" olarak korudu",2022-07-01 07:59:31+00:00,ForeksTurkey,2,50,411900,False,Gerçek#Pozitif
221281,"TEB Yatırım, #VESTL, #KRDMD ve #TOASO'yu model portföyünden çıkarırken, #CCOLA ve #TKFEN'i model portföyüne ekledi",2022-07-01 07:50:35+00:00,ForeksTurkey,3,81,411900,False,Gerçek#Negatif#Pozitif
221282,"#kozal'da vadeli tabana gitti, şimdi yukarı çiziyorlar. Spot tavan görünüyor. İzlemek daha mantıklı spotu açılışa yakın basabilirler. Dikkatli olun",2022-07-01 06:43:20+00:00,kursadbucak,6,441,156030,False,Nötr#Yargı
221283,"İş Yatırım, 
#THYAO için hedef fiyatını 53,85 TL'den 74,20 TL'ye yükseltirken, ""al"" tavsiyesini korudu
#PGSUS için hedef fiyatını 163,75 TL'den 251,95 TL'ye yükseltirken, tavsiye ""al"" 
#TAVHL için hedef fiyatını 59,40 TL'den 79,30 TL'ye yükseltirken, tavsiye ""al""",2022-07-01 05:57:01+00:00,ForeksTurkey,39,528,411900,False,Gerçek#Pozitif
221284,#KOZAL 2016-2021 için geçmişe dönük temettü ödeme kararı aldı. 2.7 milyar TL brüt temettü ödeyecek 🚀 %10 temettü verimi!,2022-06-30 17:48:24+00:00,temettuhisse,31,685,156941,False,Gerçek#Pozitif
221285,"#KOZAL,
📍Geçmiş 6 yıla ait net dağıtılabilir kârın %30unu dağıtmaya karar verdi. 
📍Hisse başı 17,54₺(brüt) temettüyü,7 Temmuz tarihinde dağıtacak.

🧘‍♂️Kozal için temettü büyük bir hikayeydi,oran zayıf kaldı. 
Ancak çok geç de olsa adım atılması iyi.Bedelsiz de gelse güzel olur.",2022-06-30 17:15:59+00:00,ibrahim___ethem,12,468,136873,False,Pozitif#Yargı
221286,"Analizlerimizden #XU100 #gesan #angen #eregl #krdmd #usak yükselişte, #AGHOL #ASUZU #klkım uyuşuk uyuşuk durmayın tam zamanı...
Morale ihtiyaçları var seyirci üstünlüğü avantaj olur. 😊",2022-06-30 12:33:05+00:00,Piri_KAPTAN,9,237,135214,False,Pozitif#Yargı
221287,"#bist30 AKD'lerine baktığımda genel itibariyle Diğer Alanlar en güçlü satıcı veya ikinci sırada...
Açıkçı küçük yatırımcıyı iştahlandırmışlar gibi 😂😂",2022-06-30 12:01:32+00:00,kursadbucak,1,197,156030,False,Pozitif#Yargı
221288,#bist30 spot 2595 üzeri güzel bir hareket gelir mi acaba ?🤔,2022-06-30 11:43:34+00:00,kursadbucak,3,328,156030,False,Pozitif#Yargı
221289,#EREGL #TOASO #TCELL geri alım programına başlamışsınız acaba sizde? Malum enflasyonist ortam var !!,2022-06-30 09:03:35+00:00,erhanhasmaden,2,174,101070,False,Nötr#Yargı
221290,"Yatırım Finansman, Emlak Konut GYO için hedef fiyatını 5,20 TL olarak belirledi, tavsiyesini ""Endeksin Üzerinde Getiri"" olarak sürdürdü #EKGYO",2022-06-30 07:11:13+00:00,ForeksTurkey,2,52,411900,False,Gerçek#Pozitif
221291,"Morgan Stanley, BİM için hedef fiyatını 80 TL'den 121 TL'ye yükseltti, tavsiyesini ""eşit ağırlık"" olarak sürdürdü  #BIMAS",2022-06-30 07:10:21+00:00,ForeksTurkey,4,69,411900,False,Gerçek#Pozitif
221292,"Borsa İstanbul’un zor gününde yüklü geri alım yapan şirketler:
📍#şişe 21,11₺ ortalama ile 950.000 lot geri alındı.
📍#sahol 19,85₺ ortalama ile 500.000 lot geri alındı.",2022-06-29 16:25:07+00:00,ibrahim___ethem,28,773,136875,False,Gerçek#Pozitif
221293,#kozaa devre kesti...,2022-06-29 14:59:40+00:00,kursadbucak,1,150,156030,False,Gerçek#Negatif
221294,#sahol devre kesti,2022-06-29 14:55:51+00:00,kursadbucak,1,242,156030,False,Gerçek#Negatif
221295,#kozal devre kesti,2022-06-29 14:40:46+00:00,kursadbucak,1,140,156030,False,Gerçek#Negatif
221296,#krdmd devre kesti...,2022-06-29 14:39:56+00:00,kursadbucak,1,253,156030,False,Gerçek#Negatif
221297,"#kchol  #ASELSAN devre kesti 
Endeks -2.44
Viop -2.60
Emeği geçenlere saygılar",2022-06-29 14:20:52+00:00,kaanbey2002,4,372,102195,False,Gerçek#Negatif
221298,#asels devre kesti,2022-06-29 14:17:08+00:00,kursadbucak,2,224,156030,False,Gerçek#Negatif
221299,#kchol devre kesti...,2022-06-29 14:16:50+00:00,kursadbucak,2,180,156030,False,Gerçek#Negatif
221300,#bist30 AKD'lerine baktığımda genel itibariyle Diğer Alanlar en güçlü alıcı veya ikinci sırada...,2022-06-29 11:41:44+00:00,kursadbucak,5,279,156030,False,Pozitif#Yargı
221301,"Goldman Sachs'ın Arçelik için hedef fiyatı 61,50 TL, tavsiyesi ""Sat"" #ARCLK",2022-06-29 10:29:45+00:00,ForeksTurkey,5,138,411900,False,Gerçek#Negatif
221302,#EREGL #KRDMD Takibimde. Sert düşüşlerine rağmen gPU oluşumu nedeniyle izliyorum. 😌,2022-06-29 09:05:42+00:00,Piri_KAPTAN,8,517,135214,False,Pozitif#Yargı
221303,#kozaa ve #tekfen devre kesti,2022-06-28 14:40:32+00:00,kursadbucak,4,271,156030,False,Gerçek#Negatif
221304,#pgsus devre kesti,2022-06-28 14:27:18+00:00,kursadbucak,3,185,156030,False,Gerçek#Negatif
221305,#krdmd devre kesti...,2022-06-28 14:22:48+00:00,kursadbucak,2,238,156030,False,Gerçek#Negatif
221306,"#TKFEN - Ali Nihat Gökyiğit tarafından 22.90 - 23.16 TL fiyat aralığından 209,822 TL nominal değerli pay satış işlemi gerçekleştirilmiştir.
#UZERB - Ayşe Lalehan Erem Tokcan tarafından 38.52 TL fiyattan 1,000 TL nominal değerli pay satış işlemi gerçekleştirilmiştir.",2022-06-28 07:29:22+00:00,zeynepxaktas,2,199,182621,False,Gerçek#Pozitif
221307,"#ARCLK Arçelik, 
📍ABD’li beyaz eşya üreticisi Whirlpool’un Rusya’daki üretim ve eski Sovyet ülkelerindeki satış ve pazarlama faaliyetlerini azami 220 milyon Euro’ya satın almak için anlaşma imzaladı.
📍""Stinol” markası ve ""Indesit"", ""Hotpoint"" grubu markaları transfer olacak.",2022-06-28 07:07:58+00:00,ibrahim___ethem,8,336,136875,False,Gerçek#Pozitif
221308,"#isdmr #eregl artık alınacak kıvama gelmiş arkadaslar.

Yavas yavas ufak ufak diyorum :)
Falan filan",2022-06-27 20:38:50+00:00,Sacro_Trade,14,685,115684,False,Pozitif#Yargı
221309,"#TKFEN’in kurucularından olan 97 yaşındaki onursal başkan Ali Nihat Gökyiğit bugün 22,90₺-23,16₺ aralığından 209.822 lot sattı. Böylece kendi adına ve adını taşıyan holding adına olan paylarının oranı %15,70’e düştü.",2022-06-27 15:10:03+00:00,ibrahim___ethem,6,247,136875,False,Gerçek#Negatif
221310,"HSBC, 
#AKBNK için hedef fiyatını 10,20 TL, tavsiyesini ""tut"" olarak korudu
#GARAN hedef fiyatını 17,20 TL'den 15,50 TL'ye indirirken, tavsiyesini ""tut"" olarak korudu
#ISCTR hedef fiyatını 4,41 TL'den 5,30 TL'ye yükseltirken, tavsiyesini ""tut"" olarak korudu",2022-06-27 14:13:02+00:00,ForeksTurkey,2,44,411900,False,Gerçek#Negatif#Pozitif
221311,Sürekli işlem yapmaktan vazgeçmediğiniz ama hep zarar ettiğiniz bir tahta yazın #kozal benim herhalde,2022-06-27 10:25:04+00:00,arifcoskun05,7,681,204322,False,Negatif#Yargı
221312,"Turkcell #TCELL ‘in bağlı ortaklığı Turkcell Finansman A.Ş, 1 milyar lira başlangıç sermayeli açık/elektronik/servis modeli bankacılığı hizmeti vereceği dijital banka kuruyor. BDDK’ya faaliyet izni başvurusu yapılacak.",2022-06-27 09:34:58+00:00,ibrahim___ethem,7,188,136875,False,Gerçek#Pozitif
221313,"BDDK düzenlemesinin ardından şirketler açıklamalara başladı. Şu ana kadar;
#BIMAS
#KARSN 
#ITTFH 
#USAK 
#SELVA 
#IMASM 
#TRILC 
#ATATP 
bizi etkilemeyecek dedi.

#AYEN ise “enerji şirketlerinde varlık kadar yükümlülük de çok.₺ krediye erişimimiz kısıtlanmamalı” dedi.",2022-06-27 09:04:54+00:00,ibrahim___ethem,12,212,136875,False,Gerçek#Nötr
